City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
112,San Policarpo,PH,2022-04-03 02:54:11,12.1791,125.5072,82.36,74,73,9.53
113,Yellowknife,CA,2022-04-03 02:51:45,62.456,-114.3525,5.52,51,100,9.22
114,Luwingu,ZM,2022-04-03 02:54:12,-10.2621,29.9271,60.39,95,95,2.33
115,La Palma,US,2022-04-03 02:49:34,33.8464,-118.0467,65.01,74,100,9.22
116,Farmington,US,2022-04-03 02:54:12,36.7281,-108.2187,60.78,37,10,4.0
117,Saint-Philippe,RE,2022-04-03 02:54:13,-21.3585,55.7679,74.1,91,100,15.12
118,Barrow,US,2022-04-03 02:54:13,71.2906,-156.7887,-3.98,71,40,16.11
119,Magadan,RU,2022-04-03 02:54:13,59.5667,150.8,24.53,67,100,3.27
120,Hofn,IS,2022-04-03 02:54:14,64.2539,-15.2082,40.23,92,100,6.8
121,Chara,RU,2022-04-03 02:54:14,56.9064,118.2631,30.65,59,26,13.2
122,Westport,US,2022-04-03 02:51:13,41.1415,-73.3579,44.2,66,99,1.99
123,Geraldton,AU,2022-04-03 02:54:15,-28.7667,114.6,79.21,78,75,12.66
124,Dillon,US,2022-04-03 02:54:15,34.4166,-79.3712,61.05,89,100,4.94
125,Beyneu,KZ,2022-04-03 02:54:16,45.3167,55.2,57.24,40,13,16.71
126,Busselton,AU,2022-04-03 02:54:16,-33.65,115.3333,71.87,79,87,14.92
127,Le Moule,GP,2022-04-03 02:54:16,16.3332,-61.3473,75.24,100,15,16.58
128,Ranong,TH,2022-04-03 02:54:17,9.9658,98.6348,80.53,74,96,8.57
129,Staryy Nadym,RU,2022-04-03 02:54:17,65.6118,72.6842,7.81,90,24,7.52
130,Chicama,PE,2022-04-03 02:54:18,-7.8447,-79.1469,64.94,79,99,6.73
131,Saldanha,ZA,2022-04-03 02:54:18,-33.0117,17.9442,59.05,81,0,9.17
132,Airai,TL,2022-04-03 02:54:18,-8.9266,125.4092,75.33,42,47,1.59
133,Sheregesh,RU,2022-04-03 02:54:19,52.9209,87.9869,33.24,100,100,5.03
134,Abadiania,BR,2022-04-03 02:54:19,-16.2042,-48.7069,72.52,70,4,2.28
135,Pochutla,MX,2022-04-03 02:54:20,15.7432,-96.4661,79.83,61,35,4.61
136,Santa Cruz De Tenerife,ES,2022-04-03 02:54:20,28.4682,-16.2546,61.72,85,0,0.0
137,Bluefields,NI,2022-04-03 02:54:20,12.0137,-83.7635,75.74,90,100,6.2
