City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
97,Pangoa,PE,-12.1167,-73.0,84.27,50,27,4.56,scattered clouds
98,Faya,SA,18.3851,42.4509,71.71,37,4,5.41,clear sky
99,Santa Cruz,BO,-17.8,-63.1667,84.25,51,20,18.41,few clouds
100,Whitehorse,CA,60.7161,-135.0538,29.17,78,40,15.01,scattered clouds
101,Naze,JP,28.3667,129.4833,59.92,66,100,12.08,overcast clouds
102,Cherskiy,RU,68.75,161.3,-4.41,99,100,3.38,overcast clouds
103,Jining,CN,35.405,116.5814,47.77,71,0,8.32,clear sky
104,Butaritari,KI,3.0707,172.7902,81.1,72,50,13.85,scattered clouds
105,Isangel,VU,-19.55,169.2667,79.95,85,100,8.39,overcast clouds
106,Carnarvon,AU,-24.8667,113.6333,78.87,83,100,12.66,overcast clouds
107,Saint Anthony,US,45.0205,-93.218,43.93,54,20,10.36,few clouds
108,Cockburn Town,TC,21.4612,-71.1419,78.17,80,10,17.16,clear sky
109,Luderitz,NA,-26.6481,15.1594,62.44,86,0,10.02,clear sky
110,Qaanaaq,GL,77.484,-69.3632,14.72,76,97,6.22,overcast clouds
111,Athens,GR,37.9795,23.7162,66.18,45,20,8.99,few clouds
112,Touros,BR,-5.1989,-35.4608,83.05,74,97,14.29,overcast clouds
113,Ilulissat,GL,69.2167,-51.1,30.22,69,75,4.61,broken clouds
114,Ribeira Grande,PT,38.5167,-28.7,64.8,72,40,19.57,scattered clouds
115,Sakakah,SA,29.9697,40.2064,92.77,10,99,5.97,overcast clouds
116,Bredasdorp,ZA,-34.5322,20.0403,63.21,83,54,6.51,broken clouds
117,Westport,US,41.1415,-73.3579,46.33,90,100,8.05,light rain
118,Bambous Virieux,MU,-20.3428,57.7575,79.21,78,75,11.5,broken clouds
119,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,81.52,81,88,2.37,overcast clouds
120,Kayerkan,RU,69.3497,87.7602,1.36,97,94,5.44,overcast clouds
121,Esperance,AU,-33.8667,121.9,64.24,86,100,10.51,overcast clouds
122,Saint-Pierre,RE,-21.3393,55.4781,74.88,88,100,4.61,overcast clouds
123,Balaipungut,ID,1.05,101.2833,74.62,97,99,2.75,overcast clouds
124,Warmbad,NA,-28.45,18.7333,73.62,24,3,15.5,clear sky
125,Lavrentiya,RU,65.5833,-171.0,-13.83,93,31,10.58,scattered clouds
126,East London,ZA,-33.0153,27.9116,74.34,83,20,13.8,few clouds
127,Stepnoye,RU,51.4,46.8667,51.76,81,99,8.43,overcast clouds
128,Basoko,CD,1.2391,23.616,76.35,78,74,0.43,light rain
129,Mar Del Plata,AR,-38.0023,-57.5575,75.22,62,20,21.99,few clouds
130,Chenghai,CN,23.4632,116.768,55.31,82,0,4.47,clear sky
131,Avarua,CK,-21.2078,-159.775,73.45,100,100,1.14,overcast clouds
132,Seymchan,RU,62.8833,152.4333,-15.3,99,95,1.01,overcast clouds
133,Chokurdakh,RU,70.6333,147.9167,-21.46,100,66,2.86,broken clouds
134,Geraldton,AU,-28.7667,114.6,75.61,78,75,13.8,light rain
135,Dikson,RU,73.5069,80.5464,-1.62,99,87,9.51,overcast clouds
136,Bathsheba,BB,13.2167,-59.5167,84.81,58,40,20.71,scattered clouds
137,Talnakh,RU,69.4865,88.3972,3.54,97,98,4.45,overcast clouds
138,Svetlogorsk,BY,52.6333,29.7333,29.97,86,100,4.76,overcast clouds
139,Codrington,AU,-38.2667,141.9667,59.14,82,95,5.19,overcast clouds
140,Bluff,NZ,-46.6,168.3333,56.75,73,73,11.92,broken clouds
141,Maceio,BR,-9.6658,-35.7353,83.64,69,40,10.36,scattered clouds
142,Longyearbyen,SJ,78.2186,15.6401,8.44,56,54,20.71,broken clouds
143,Omboue,GA,-1.5746,9.2618,80.94,80,88,7.43,overcast clouds
144,Inta,RU,66.0317,60.1659,23.27,69,100,19.24,overcast clouds
145,Zehdenick,DE,52.9785,13.3317,45.28,72,100,10.6,overcast clouds
146,Aklavik,CA,68.2191,-135.0107,-16.6,69,20,6.91,few clouds
147,Tasiilaq,GL,65.6145,-37.6368,32.16,85,100,2.62,overcast clouds
148,Havoysund,NO,70.9963,24.6622,28.63,56,100,16.02,overcast clouds
149,Arraial Do Cabo,BR,-22.9661,-42.0278,84.06,70,75,11.5,broken clouds
150,Marzuq,YE,14.4,46.4667,73.2,31,0,7.36,clear sky
151,Broome,US,42.2506,-75.833,41.9,80,100,5.75,mist
152,Hami,CN,42.8,93.45,55.8,24,12,9.75,few clouds
153,Hervey Bay,AU,-25.2986,152.8535,69.03,89,4,7.0,clear sky
154,Zigong,CN,29.3416,104.7769,62.47,68,100,12.15,overcast clouds
155,Tambura,SS,5.6,27.4667,76.6,67,74,4.32,broken clouds
